zelfstandig naamwoord	zelfstandige naamwoorden
zeeman	zeelieden
betekenis	betekenissen
controle	controles
meteoor	meteoren
aardbeving	aardbevingen
planetoïde	planetoïden
aap	apen
camera	camera's
aardveil	aardveilen
nuntius	nuntiussen
rad	raderen
zeebenen	
aardewerk	aardewerken
tal	tallen
zeebanket	zeebanketten
zeebaars	zeebaarzen
aardwetenschap	aardwetenschappen
raam	ramen
focus puller	
zeedijk	zeedijken
sleutel	sleutels
pars	
pars	parsen
taalkunde	
centrum	centra
gaffer	
zeeaal	zeealen
nebula	
zeecadet	zeecadetten
zeebodem	zeebodems
zeebreker	zeebrekers
zeegezicht	zeegezichten
zeebeving	zeebevingen
flora	flora's
komeet	kometen
zeevaarder	zeevaarders
zeegat	zeegaten
zeefauna	zeefauna's
cameraman	cameramannen
zeegevecht	zeegevechten
stoel	stoelen
zeegang	zeegangen
moeder	moeders
zeekreeft	zeekreeften
Tswana	
aardtrilling	aardtrillingen
aandrijving	aandrijvingen
centurio	centurio's
emulsie	emulsies
kernfusie	kernfusies
wortel	
sneeuw	
aardgas	aardgassen
perceptie	percepties
zeegodin	zeegodinnen
filmfestival	filmfestivals
zeegod	zeegoden
bier	bieren
zeevaart	zeevaarten
meer	meren
achteruitrijlamp	achteruitrijlampen
zeeduivel	zeeduivels
achterkant	achterkanten
politieagent	politieagenten
zeewier	zeewiertjes
imperator	imperatoren
vent	venten
vent	vents
zeebonk	zeebonken
voorlicht	voorlichten
remlicht	remlichten
zeegras	zeegrassen
aanbod	(aanbiedingen)
zeemanschap	
epicentrum	epicentra
knipperlicht	knipperlichten
zeeziekte	zeeziektes
zeehondencrèche	zeehondencrèches
achterlicht	achterlichten
zeehoofd	zeehoofden
zeewater	zeewateren
statief	statieven
aardappel	aardappelen
zes	
orator	oratoren
zeemanshuis	zeemanshuizen
zeemijl	zeemijlen
zeekoe	zeekoeien
fotograaf	fotografen
zeeklimaat	zeeklimaten
zeekust	zeekusten
zeemansknoop	zeemansknopen
eenpoot	eenpoten
gloria	gloria's
zeehondenjager	
zeegroen	
imperfectum	imperfectums
zeeloods	zeeloodsen
planetenstelsel	planetenstelsels
zeekrab	zeekrabben
zwaartekracht	
zeemansgraf	zeemansgraven
zeekwal	zeekwallen
verf	verven
zeehondenbont	
regen	regens
scheikunde	
zeemogendheid	zeemogendheden
water	
pastor	pastores
drager	dragers
zeemijn	zeemijnen
zeemeermin	zeemeerminnen
zeehaven	zeehavens
zeeklas	
krypton	
aardoppervlak	aardoppervlakken
zeemeeuw	zeemeeuwen
zoutwater	
zoutwater	zoutwaters
zeeofficier	zeeofficieren
balans	balansen
grip	grippen
vwo	vwo's
sla	sla's
katachtige	katachtigen
aanbetaling	aanbetalingen
jager	jagers
hora	hora's
driedoornige stekelbaars	
keker	kekers
wastafel	wastafels
aardworm	aardwormen
zeenatie	zeenaties
knalpot	knalpotten
zeemonster	zeemonsters
waarheid	waarheden
gevolg	gevolgen
pier	pieren
pier	pieren
zeerot	zeerotten
zeeroof	zeeroven
zeepolder	zeepolders
zeereis	zeereizen
zeepaard	zeepaarden
zeeroverij	zeeroverijen
zeepost	zeeposten
duit	duiten
sol	
zeeramp	zeerampen
cadans	cadansen
zeeschelp	zeeschelpen
dijk	dijken
zeeroversnest	zeeroversnesten
zeerecht	zeerechten
zeerover	zeerovers
aardappelmoeheid	
paradijs	paradijzen
zeeroute	zeeroutes
dia	dia's
zeenimf	zeenimfen
zeeoorlog	zeeoorlogen
pluralis	pluralissen
zeeschildpad	zeeschildpadden
zeepaling	zeepalingen
zwaluw	zwaluwen
rem	remmen
zeeanemoon	zeeanemonen
zeestroming	zeestromingen
nasi	
zeesleper	zeeslepers
giebel	giebels
zeestorm	zeestormen
toegang	toegangen
zeeverbinding	
zeestrand	zeestranden
zeestroom	zeestromen
zeeslang	zeeslangen
zeeschuimer	zeeschuimers
goudvis	goudvissen
zeesluis	zeesluizen
oma	oma's
zeeslag	zeeslagen
zeeslak	zeeslakken
zeestraat	zeestraten
mode	modes
zeeschip	zeeschepen
zeester	zeesterren
opa	opa's
ultra	ultra's
zeetong	zeetongen
rijst	
biologie	
geit	geiten
geboorte	geboorten
zeevaartschool	zeevaartscholen
zeeverkenner	zeeverkenners
boy	boys
ding	dingen
zeevaartkunde	
zeeweg	zeewegen
kurkentrekker	kurkentrekkers
contra	contra's
oor	
oor	
garçon	garçons
zeewezen	zeewezens
dak	daken
zeewering	zeeweringen
rivier	rivieren
astronoom	astronomen
zout	zouten
lamp	lampen
animatie	animaties
cis	cissen
post	
granaatappel	granaatappels
labyrint	labyrinten
nasi goreng	nasi gorengs
zeewolf	zeewolven
mama	mama's
kuststreek	kuststreken
artrose	artroses
aardbol	aardbollen
aangezichtspijn	aangezichtspijnen
aanslagbiljet	aanslagbiljetten
aspirine	aspirines
laboratorium	laboratoriums
echtgenote	echtgenotes
paardenstal	paardenstallen
ozon	
kubus	kubussen
leeuwin	leeuwinnen
bis	
onderzeeboot	onderzeeboten
aria	aria's
school	scholen
kuur	kuren
echtgenoot	echtgenoten
ei	eieren
kangoeroe	kangoeroes
eb	
aankoop	aankopen
zeelieden	
vader	vaders
rivierkreeft	rivierkreeften
zeehond	zeehonden
fade	
ar	arren
haai	haaien
kol	kollen
kol	kolot
kol	kolot
kol	kolot
sardien	sardienen
zij	
zij	
jong	
politie	
politie	polities
briljant	
ster	sterren
aardbodem	aardbodems
zee	zeeën
gorilla	gorilla's
bank	banken
hardloper	hardlopers
gonorroe	
u	
alleseter	alleseters
reptiel	reptielen
kreeft	kreeften
economie	economieën
zebra	zebra's
schaamluis	schaamluizen
zoogdier	zoogdieren
wijn	wijnen
krab	krabben
foto	foto's
schildpad	schildpadden
alligator	alligators
asbak	asbakken
muismat	muismatten
slak	slakken
echo	echo's
werk	werken
werk	werken
achtergrond	achtergronden
aaseter	aaseters
garnaal	garnalen
druiper	druipers
paard	paarden
oceaan	oceanen
oester	oesters
ananas	ananassen
gier	gieren
barracuda	barracuda's
wind	winden
amfibie	amfibieën
giraffe	giraffes
bisamrat	bisamratten
olifant	olifanten
geslachtsziekte	geslachtsziekten
stookolie	stookoliën
bladluis	bladluizen
nijlpaard	nijlpaarden
brulaap	brulapen
lijn	lijnen
badkuip	badkuipen
